"date","close","volume","open","high","low"

"2019/03/15","275.4300","14757360.0000","283.5100","283.7244","274.4000"
"2019/03/14","289.9600","7048138.0000","292.4500","295.3900","288.2900"
"2019/03/13","288.9600","6817854.0000","283.9000","291.9900","282.7000"
"2019/03/12","283.3600","7488037.0000","286.4900","288.0700","281.0600"
"2019/03/11","290.9200","7372298.0000","283.5200","291.2800","280.5000"
"2019/03/08","284.1400","8805772.0000","276.9100","285.5900","275.8900"
"2019/03/07","276.5900","9410697.0000","278.8400","284.7000","274.2500"
"2019/03/06","276.2400","10319370.0000","276.4800","281.5058","274.3900"
"2019/03/05","276.5400","18729800.0000","282.0000","284.0000","270.1000"
"2019/03/04","285.3600","17068890.0000","298.1200","299.0000","282.7800"
"2019/03/01","294.7900","22848750.0000","306.9400","307.1300","291.9000"
"2019/02/28","319.8800","9666224.0000","318.9200","320.0000","310.8100"
"2019/02/27","314.7400","11144100.0000","301.7800","316.2950","300.5500"
"2019/02/26","297.8600","8571609.0000","292.2200","302.0100","288.7701"
"2019/02/25","298.7700","6213701.0000","297.9100","302.9044","297.0005"
"2019/02/22","294.7100","5731380.0000","294.4900","296.5000","292.1000"
"2019/02/21","291.2300","8880830.0000","301.8100","303.2399","290.5000"
"2019/02/20","302.5600","7132969.0000","304.4100","306.3000","299.0000"
"2019/02/19","305.6400","4120520.0000","306.5600","311.5442","305.4700"
"2019/02/15","307.8800","3895815.0000","304.5000","308.0000","303.9000"
"2019/02/14","303.7700","5190887.0000","303.3800","306.7700","301.0000"
"2019/02/13","308.1700","5130398.0000","312.3500","312.7500","305.5700"
"2019/02/12","311.8100","5485419.0000","316.2000","318.1900","309.6200"
"2019/02/11","312.8400","7114012.0000","311.6000","318.6000","310.5000"
"2019/02/08","305.8000","5835078.0000","306.8300","307.4450","298.5000"
"2019/02/07","307.5100","6511830.0000","313.3000","314.7000","303.0000"
"2019/02/06","317.2200","5031368.0000","319.5900","324.2400","315.6240"
"2019/02/05","321.3500","6734739.0000","312.4900","322.4400","312.2494"
"2019/02/04","312.8900","7344076.0000","312.9800","315.3000","301.8800"
"2019/02/01","312.2100","7263618.0000","305.4200","316.1000","303.5000"
"2019/01/31","307.0200","12545190.0000","301.0000","311.5636","294.0000"
"2019/01/30","308.7700","10594040.0000","300.4500","309.0000","298.4900"
"2019/01/29","297.4600","4602933.0000","295.2700","298.5566","291.8000"
"2019/01/28","296.3800","6409477.0000","292.9100","297.4600","287.7500"
"2019/01/25","297.0400","7102781.0000","294.3900","298.5195","289.5500"
"2019/01/24","291.5100","7990911.0000","283.0300","293.6800","279.2831"
"2019/01/23","287.5900","12513080.0000","292.5000","294.5000","281.6900"
"2019/01/22","298.9200","12052130.0000","304.8200","308.0000","295.5000"
"2019/01/18","302.2600","24079260.0000","323.0000","327.1297","299.7301"
"2019/01/17","347.3100","3661162.0000","346.2100","351.5000","344.1500"
"2019/01/16","346.0500","4677227.0000","344.7800","352.0000","343.5000"
"2019/01/15","344.4300","6047890.0000","335.0000","348.8000","334.5000"
"2019/01/14","334.4000","5232690.0000","342.3800","342.5000","334.0000"
"2019/01/11","347.2600","5035078.0000","342.0900","348.4100","338.7700"
"2019/01/10","344.9700","6049621.0000","334.4000","345.3900","331.7900"
"2019/01/09","338.5300","5426618.0000","335.5000","343.5025","331.4700"
"2019/01/08","335.3500","6994427.0000","341.9600","344.0100","327.0200"
"2019/01/07","334.9600","7542338.0000","321.7200","336.7400","317.7508"
"2019/01/04","317.6900","7382755.0000","306.0000","318.0000","302.7300"
"2019/01/03","300.3600","6948577.0000","307.0000","309.4000","297.3800"
"2019/01/02","310.1200","11611270.0000","306.1000","315.1300","298.8000"
"2018/12/31","332.8000","6294298.0000","337.7900","339.2100","325.2600"
"2018/12/28","333.8700","9918777.0000","323.1000","336.2400","318.4100"
"2018/12/27","316.1300","8567385.0000","319.8400","322.1717","301.5000"
"2018/12/26","326.0900","8143102.0000","300.0000","326.9700","294.0900"
"2018/12/24","295.3900","5559913.0000","313.5000","314.5000","295.1950"
"2018/12/21","319.7700","7997219.0000","317.4000","323.4700","312.4400"
"2018/12/20","315.3800","9049389.0000","327.0540","330.2900","311.8690"
"2018/12/19","332.9700","8256374.0000","337.6000","347.0100","329.7400"
"2018/12/18","337.0300","7084887.0000","350.5400","351.5500","333.6900"
"2018/12/17","348.4200","7664832.0000","362.0000","365.7000","343.8800"
"2018/12/14","365.7100","6327625.0000","375.0000","377.8700","364.3300"
"2018/12/13","376.7900","7348168.0000","370.1500","377.4400","366.7500"
"2018/12/12","366.6000","5019725.0000","369.4200","371.9100","365.1600"
"2018/12/11","366.7600","6298472.0000","369.9100","372.1689","360.2300"
"2018/12/10","365.1500","6575341.0000","360.0000","365.9800","353.1200"
"2018/12/07","357.9650","11484350.0000","369.0000","379.4900","357.6500"
"2018/12/06","363.0600","7828689.0000","356.0100","367.3800","350.7600"
"2018/12/04","359.7000","8430213.0000","356.0500","368.6800","352.0000"
"2018/12/03","358.4900","8295843.0000","360.0000","366.0000","352.0000"
"2018/11/30","350.4800","5621104.0000","341.8300","351.6000","338.2648"
"2018/11/29","341.1700","3076026.0000","347.0000","347.5000","339.5500"
"2018/11/28","347.8700","4114038.0000","345.9900","348.2800","342.2100"
"2018/11/27","343.9200","6347004.0000","340.0500","346.9600","335.5000"
"2018/11/26","346.0000","7973119.0000","325.0000","346.2200","325.0000"
